"","date","sp500 open","sp500 close","sp500 high-low","sp500 volume","nasdaq open","nasdaq close","nasdaq high-low","nasdaq volume","us_rates_%","CPI","usd_chf","eur_usd","GDP","silver high-low","oil high-low","platinum high-low","palladium high-low","gold high-low"
"37",2010-03-09,113.93,114.46,1.11999999999999,154378793,46.4,46.79,0.649999999999999,98002800,0.2,217.403,1.0765,1.3586,14980.193,0.370000000000001,0.561999999999998,1.78989999999999,0.980000000000004,1.11999999999999
"38",2010-03-10,114.51,114.97,0.870000000000005,185854165,46.8,47.17,0.480000000000004,102578900,0.2,217.403,1.0702,1.3658,14980.193,0.690000000000001,1.065,3.80000000000001,1.73,2.48
"39",2010-03-11,114.7,115.45,1.13000000000001,160381449,47.07,47.35,0.370000000000004,67510300,0.2,217.403,1.0689,1.3674,14980.193,0.289999999999999,0.399999999999999,2.69989999999998,1.22,0.790000000000006
"40",2010-03-12,115.95,115.46,0.829999999999998,161925254,47.5,47.36,0.43,64068300,0.2,217.403,1.0599,1.3753,14980.193,0.27,1.02,2.13,0.630000000000003,1.31999999999999
"41",2010-03-15,115.26,115.49,0.969999999999999,146532076,47.26,47.24,0.470000000000006,60150500,0.2,217.403,1.0635,1.3652,14980.193,0.128999999999998,0.640000000000001,1.60999999999998,0.761000000000003,0.740000000000009
"42",2010-03-16,115.81,116.41,1.03,168561421,47.39,47.54,0.380000000000003,74950600,0.2,217.403,1.0556,1.3758,14980.193,0.199899999999999,0.660199999999996,1.029,0.93,0.86999999999999
"43",2010-03-17,116.76,117.1,1.06,177203017,47.6,47.67,0.369999999999997,75643500,0.2,217.403,1.0551,1.3739,14980.193,0.140000000000001,0.629999999999995,1.22989999999999,0.980000000000004,0.909999999999997
"44",2010-03-18,117.11,117.04,0.700000000000003,170817,47.72,47.83,0.280000000000001,77829400,0.2,217.403,1.063,1.3603,14980.193,0.199400000000001,0.479999999999997,0.977100000000007,0.469999999999999,1.11
"45",2010-03-19,115.97,115.97,1.77000000000001,226519190,47.95,47.49,0.630000000000003,86337100,0.2,217.403,1.0615,1.353,14980.193,0.420000000000002,1.125,2.16999999999999,1.36,2.44000000000001
"46",2010-03-22,115.31,116.59,1.56,184083906,47.31,47.92,0.859999999999999,71902800,0.2,217.403,1.058,1.3531,14980.193,0.340000000000003,1.335,2.77000000000001,1.0592,1.05
"47",2010-03-23,116.76,117.41,1.13000000000001,182625254,48,48.2525,0.529999999999994,59182600,0.2,217.403,1.0561,1.3535,14980.193,0.350000000000001,0.581000000000003,1.44999999999999,1.319,1.16
"48",2010-03-24,116.97,116.84,1.85000000000001,196061714,48.14,48.02,0.260000000000005,62995700,0.2,217.403,1.0692,1.3347,14980.193,0.169999999999998,0.520100000000006,1.274,1.6194,0.829999999999998
"49",2010-03-25,117.63,116.65,1.66,223197727,48.37,47.95,0.700000000000003,76294800,0.2,217.403,1.0697,1.3344,14980.193,0.25,0.609999999999999,1.91,0.670000000000002,0.769999999999996
"50",2010-03-26,116.87,116.58,1.3,205625701,48.14,48,0.589999999999996,78067900,0.2,217.403,1.0662,1.3398,14980.193,0.220000000000002,0.57,0.97999999999999,0.699999999999996,1.88000000000001
"51",2010-03-29,117.17,117.32,0.840000000000003,134431758,48.23,48.23,0.299999999999997,57993300,0.2,217.403,1.0634,1.3465,14980.193,0.162200000000002,0.819899999999997,1.85599999999999,0.500099999999996,0.769999999999996
"52",2010-03-30,117.46,117.4,0.920000000000002,145681592,48.36,48.39,0.489999999999995,49437300,0.2,217.403,1.0671,1.3409,14980.193,0.140000000000001,0.419999999999995,0.789899999999989,0.419899999999998,0.791499999999999
"53",2010-03-31,116.95,117,0.909999999999997,160932206,48.23,48.16,0.380000000000003,59947400,0.2,217.403,1.0528,1.3526,14980.193,0.18,0.720000000000006,1.04000000000002,0.960000000000001,0.650000000000006
"54",2010-04-01,117.8,117.8,1.15000000000001,161083608,48.34,48.16,0.910000000000004,83728600,0.2,217.403,1.0559,1.3569,14980.193,0.16,0.329999999999998,1.44,0.546999999999997,0.549999999999997
"55",2010-04-05,118.25,118.76,0.920000000000002,105621743,48.26,48.61,0.579999999999998,56220300,0.2,217.29,1.0619,1.3486,15141.607,0.200000000000003,0.670000000000002,2.31,1.87,0.713700000000003
"56",2010-04-06,118.42,119.04,0.959999999999994,110194919,48.49,48.75,0.509999999999998,54097100,0.2,217.29,1.0704,1.3378,15141.607,0.18,0.359999999999999,0.969899999999996,0.789900000000003,0.680000000000007
"57",2010-04-07,118.8,118.36,1.55,184432309,48.69,48.63,0.5,77211500,0.2,217.29,1.0716,1.3364,15141.607,0.190000000000001,0.640000000000001,1.84,0.719899999999996,1.16000000000001
"58",2010-04-08,117.95,118.77,1.37,158495871,48.51,48.74,0.579999999999998,68314300,0.2,217.29,1.0723,1.336,15141.607,0.16,0.710000000000001,1.79990000000001,0.550000000000004,0.850000000000009
"59",2010-04-09,119.02,119.55,0.799999999999997,132701705,48.77,49.03,0.414999999999999,54227300,0.2,217.29,1.0672,1.3468,15141.607,0.16,0.918999999999997,1.30000000000001,0.580000000000005,1.33
"60",2010-04-12,119.7,119.74,0.489999999999995,110200946,49.05,49.07,0.260000000000005,44280600,0.2,217.29,1.0598,1.3587,15141.607,0.350000000000001,0.585000000000001,1.51999999999998,0.899999999999999,1.14999999999999
"61",2010-04-13,119.62,119.83,1.04000000000001,121901060,49.02,49.32,0.490000000000002,59376000,0.2,217.29,1.0573,1.3592,15141.607,0.310000000000002,0.789999999999999,1.59999999999999,1.55,1.09999999999999
"62",2010-04-14,120.27,121.19,1.11,161608989,49.57,49.91,0.420000000000002,69004800,0.2,217.29,1.0512,1.3666,15141.607,0.129799999999999,0.939300000000003,0.85990000000001,0.840000000000003,0.879999999999995
"63",2010-04-15,120.99,121.29,0.61999999999999,144514805,49.88,50.13,0.32,72254200,0.2,217.29,1.0595,1.354,15141.607,0.1326,0.460000000000001,0.860000000000014,0.660000000000004,0.859999999999999
"64",2010-04-16,120.86,119.36,2.54000000000001,366379413,49.95,49.53,0.919999999999995,127388000,0.2,217.29,1.0624,1.3487,15141.607,0.68,0.979999999999997,3.31999999999999,1.499,2.52999999999999
"65",2010-04-19,119.01,119.81,1.46000000000001,217625461,49.36,49.5,0.759999999999998,98251700,0.2,217.29,1.065,1.3458,15141.607,0.164999999999999,0.439999999999998,1.63999999999999,1.41,0.689999999999998
"66",2010-04-20,120.56,120.88,1.11,157457380,49.755,49.75,0.450000000000003,69543700,0.2,217.29,1.0673,1.3446,15141.607,0.199899999999999,0.533300000000004,1.05000000000001,1.14,0.879999999999995
"67",2010-04-21,120.95,120.66,1.24000000000001,192782906,50.09,50.03,0.464999999999996,74748700,0.2,217.29,1.0708,1.3383,15141.607,0.2806,0.740000000000002,1.125,0.869999999999997,1.16
"68",2010-04-22,119.81,121.02,2.05,239108192,49.5697,50.31,1.1,110477200,0.2,217.29,1.0778,1.3298,15141.607,0.242599999999999,1.06,2.42000000000002,1.4699,1.25
"69",2010-04-23,120.94,121.81,1.23,177262089,50.29,50.52,0.479999999999997,77205200,0.2,217.29,1.0743,1.336,15141.607,0.41,1.08,2.11000000000001,1.2599,2.20999999999999
"70",2010-04-26,121.85,121.35,0.890000000000001,143347665,50.53,50.41,0.350000000000001,67361000,0.2,217.29,1.0753,1.3336,15141.607,0.16,0.659999999999997,1.66,0.976299999999995,0.570000000000007
"71",2010-04-27,120.65,118.48,3.09,355560974,50.22,49.34,1.22,112608000,0.2,217.29,1.0837,1.323,15141.607,0.338100000000001,1.22,2.66989999999998,1.9675,2.47999999999999
"72",2010-04-28,119.05,119.38,1.41000000000001,300539227,49.6,49.37,0.650000000000006,130082100,0.2,217.29,1.091,1.313,15141.607,0.404,0.739899999999999,0.83499999999998,1.17,1.36
"73",2010-04-29,120.1,120.86,1.04000000000001,193598705,49.61,50.23,0.719999999999999,84180200,0.2,217.29,1.0824,1.3243,15141.607,0.459900000000001,0.460000000000001,2.22999999999999,0.859899999999996,0.679999999999993
"74",2010-04-30,120.88,118.81,2.23,269859816,50.21,49.2375,1.09,110897000,0.2,217.29,1.0767,1.3302,15141.607,0.1799,0.629999999999995,1.31,0.893799999999999,0.490000000000009
"75",2010-05-03,119.38,120.35,1.48,182672396,49.43,49.93,0.740000000000002,74169700,0.18,217.199,1.0868,1.3183,15141.607,0.239899999999999,0.609999999999999,2.11499999999998,0.82,0.75
"76",2010-05-04,119.01,117.52,2.11,360072452,49.31,48.43,1.24,141136500,0.18,217.199,1.0987,1.3037,15141.607,0.789999999999999,0.969999999999999,3.05000000000001,1.574,2.26000000000001
"77",2010-05-05,116.56,116.82,1.83,328745969,47.98,48.18,0.859999999999999,128560200,0.18,217.199,1.1118,1.289,15141.607,0.52,1.06,3.78,3.73,1.928
"78",2010-05-06,116.26,112.94,12,647356600,47.85,46.57,6.7701,274356800,0.18,217.199,1.1092,1.2689,15141.607,0.41,2.34,4.93000000000001,2.04000000000001,3.05000000000001
"79",2010-05-07,112.64,111.26,4.36,636806832,46.22,45.41,2.5167,288200400,0.18,217.199,1.1085,1.2721,15141.607,1.1209,1.129,2.34990000000002,2.84,2.14
"80",2010-05-10,115.81,116.16,1.74000000000001,395942202,47.42,47.77,0.489999999999995,136041600,0.18,217.199,1.1069,1.2861,15141.607,0.210000000000001,0.899999999999999,0.920000000000016,1.5,1.0899
"81",2010-05-11,115.07,115.83,2.45,314227758,47.31,47.72,1.19,113016100,0.18,217.199,1.1059,1.2715,15141.607,0.359999999999999,0.75,1.53360000000001,1.32,1.90000000000001
"82",2010-05-12,116.29,117.45,1.53,235346103,47.98,48.62,0.759999999999998,85462400,0.18,217.199,1.1101,1.2642,15141.607,0.210000000000001,0.880000000000003,3.86000000000001,0.920000000000002,1.4665
"83",2010-05-13,117.13,115.99,1.79000000000001,234328751,48.43,47.85,1.0599,102844300,0.18,217.199,1.1146,1.2568,15141.607,0.5,0.585000000000001,1.58000000000001,0.979999999999997,1.61
"84",2010-05-14,115.12,113.89,2.45999999999999,345536506,47.49,46.93,1.14,147386100,0.18,217.199,1.1304,1.239,15141.607,0.670000000000002,1.24,2.38,1.6,2.89999999999999
"85",2010-05-17,114.2,113.95,2.75,325702142,47.04,47.08,1.2,120969600,0.18,217.199,1.1392,1.2299,15141.607,0.640000000000001,1.0689,5.06,2.64,1.83
"86",2010-05-18,114.88,112.4,3.19,360122928,47.47,46.43,1.36,153072100,0.18,217.199,1.1342,1.2358,15141.607,0.32,1.42,2.88,1.4599,1.81999999999999
"87",2010-05-19,111.77,111.76,2.41,394353890,46.26,46.06,1.08,159000300,0.18,217.199,1.1564,1.2317,15141.607,0.689900000000002,0.950000000000003,3.78999999999999,2.82,2.35000000000001
"88",2010-05-20,109.38,107.54,2.42,529155816,45.17,44.35,1.03,189289800,0.18,217.199,1.15,1.237,15141.607,0.41,1.16,4.23999999999998,2.22,1.77
"89",2010-05-21,105.91,109.11,4.02,500625583,43.64,44.84,2.15,190631100,0.18,217.199,1.1485,1.2575,15141.607,0.464000000000002,1.02,2.09999999999999,2.1,1.72999999999999
"90",2010-05-24,108.52,107.71,1.78,269079858,44.81,44.66,0.685000000000002,113038000,0.18,217.199,1.1561,1.2406,15141.607,0.290099999999999,0.454999999999998,1.40989999999999,1.15,1.13
"91",2010-05-25,105.11,107.82,3.49000000000001,395832912,43.67,44.7,1.53,155643000,0.18,217.199,1.1593,1.2279,15141.607,0.370000000000001,0.960000000000001,2.78,1.45,0.700000000000003
"92",2010-05-26,108.48,107.17,2.62,348931025,44.93,44.2,1.45,140203200,0.18,217.199,1.1602,1.2224,15141.607,0.310000000000002,0.710000000000001,1.91999999999999,0.859999999999999,0.760000000000005
"93",2010-05-27,109.19,110.76,2.02,300394583,45.22,45.87,0.799999999999997,110671600,0.18,217.199,1.15,1.237,15141.607,0.300000000000001,0.93,2.81,1.1155,0.897999999999996
"94",2010-05-28,110.64,109.37,1.87,297534031,45.94,45.6,0.789999999999999,128535300,0.18,217.199,1.1534,1.2369,15141.607,0.18,1.01,2.47989999999999,1.96,1.27000000000001
"95",2010-06-01,108.35,107.53,2.58,277410545,45.45,45.18,1.12,104242700,0.18,217.199,1.1548,1.2266,15141.607,0.34,1.47,1.67000000000002,0.829999999999998,0.620000000000005
"96",2010-06-02,108.08,110.33,2.83,240010348,45.45,46.25,1.15,97249300,0.18,217.605,1.1575,1.2206,15141.607,0.258499999999998,0.75,2.16,1.37,1.16
"97",2010-06-03,110.65,110.71,1.48,226453184,46.36,46.69,0.690000000000005,98928400,0.18,217.605,1.154,1.2193,15141.607,0.539899999999999,1.2,2.20990000000001,1.74,1.91
"98",2010-06-04,108.61,106.82,2.87,395563854,45.71,45.0925,1.3525,112849900,0.18,217.605,1.1614,1.1998,15141.607,0.370000000000001,1.26499999999999,1.95000000000002,1.66,2.34
"99",2010-06-07,107.2,105.49,2.2,264299273,45.34,44.27,1.24,88436600,0.18,217.605,1.1613,1.1959,15141.607,0.959899999999998,0.839999999999996,2.16999999999999,1.16,3.17999999999999
"100",2010-06-08,105.57,106.62,2.17999999999999,357532564,44.37,44.19,0.889999999999993,133030100,0.18,217.605,1.151,1.1995,15141.607,0.23,0.610100000000003,1.23009999999999,1.02,1.79000000000001
